Date : 2023-05-11 23:25:53
Directory : c:\Git\videoportal2
Total : 122 files,  14272 codes, 578 comments, 2216 blanks, all 17066 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230409200959_Add-ChannelUserSpecificInfo.cs          | C#                 |         31 |          3 |          4 |         38 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230416204822_comments_user_roles.Designer.cs         | C#                 |        434 |          2 |        152 |        588 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\20230416204822_comments_user_roles.cs                  | C#                 |         65 |          3 |         10 |         78 |
| c:\Git\videoportal2\backend\Backend\Backend\Migrations\MyDbContextModelSnapshot.cs                            | C#                 |        432 |          1 |        152 |        585 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\Channel.cs                                                 | C#                 |         73 |          0 |         12 |         85 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\Comment.cs                                                 | C#                 |         32 |          0 |          6 |         38 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\LoginRegisterDTO.cs                                        | C#                 |         14 |          0 |          1 |         15 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\Tag.cs                                                     | C#                 |          8 |          0 |          1 |          9 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\User.cs                                                    | C#                 |         83 |          0 |         10 |         93 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\Video.cs                                                   | C#                 |         55 |          0 |          6 |         61 |
| c:\Git\videoportal2\backend\Backend\Backend\Models\WithTotalCount.cs                                          | C#                 |          9 |          0 |          2 |         11 |
| c:\Git\videoportal2\backend\Backend\Backend\Program.cs                                                        | C#                 |        117 |          0 |         12 |        129 |
| c:\Git\videoportal2\backend\Backend\Backend\Properties\launchSettings.json                                    | JSON               |         23 |          0 |          0 |         23 |
| c:\Git\videoportal2\backend\Backend\Backend\Services\AuthenticationService.cs                                 | C#                 |         90 |          0 |         17 |        107 |
| c:\Git\videoportal2\backend\Backend\Backend\Services\IAuthenticationService.cs                                | C#                 |         10 |          0 |          2 |         12 |
| c:\Git\videoportal2\backend\Backend\Backend\Utils\FormDataOptional.cs                                         | C#                 |         28 |          0 |          2 |         30 |
| c:\Git\videoportal2\backend\Backend\Backend\Utils\MarkRequired.cs                                             | C#                 |         19 |          0 |          2 |         21 |
| c:\Git\videoportal2\backend\Backend\Backend\Utils\SaveFile.cs                                                 | C#                 |         50 |          0 |          5 |         55 |
| c:\Git\videoportal2\backend\Backend\Backend\Utils\TypeExtensions.cs                                           | C#                 |         32 |          0 |          6 |         38 |
| c:\Git\videoportal2\backend\Backend\Backend\Utils\UserExtensions.cs                                           | C#                 |         17 |          0 |          2 |         19 |
| c:\Git\videoportal2\backend\Backend\Backend\appsettings.Development.json                                      | JSON               |          8 |          0 |          1 |          9 |
| c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\details.md                                    | Markdown           |         91 |          0 |          6 |         97 |
| c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\diff-details.md                               | Markdown           |          9 |          0 |          6 |         15 |
| c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\diff.md                                       | Markdown           |         12 |          0 |          7 |         19 |
| c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\results.json                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Git\videoportal2\frontend\.VSCodeCounter\2023-05-11_23-23-53\results.md                                    | Markdown           |         51 |          0 |          7 |         58 |
| c:\Git\videoportal2\frontend\.env                                                                             | Properties         |          1 |          0 |          1 |          2 |
| c:\Git\videoportal2\frontend\.prettierrc                                                                      | JSON               |          6 |          0 |          1 |          7 |
| c:\Git\videoportal2\frontend\.vscodeignore                                                                    | Ignore             |          1 |          0 |          0 |          1 |
| c:\Git\videoportal2\frontend\index.html                                                                       | HTML               |         30 |          4 |          1 |         35 |
| c:\Git\videoportal2\frontend\package.json                                                                     | JSON               |         96 |          0 |          1 |         97 |
| c:\Git\videoportal2\frontend\public\logo.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Git\videoportal2\frontend\public\manifest.json                                                             | JSON               |         25 |          0 |          1 |         26 |
| c:\Git\videoportal2\frontend\src\App.tsx                                                                      | TypeScript JSX     |        134 |          0 |          4 |        138 |
| c:\Git\videoportal2\frontend\src\Theme.tsx                                                                    | TypeScript JSX     |         89 |          1 |          8 |         98 |
| c:\Git\videoportal2\frontend\src\api\axios-client.ts                                                          | TypeScript         |      1,037 |         29 |        142 |      1,208 |
| c:\Git\videoportal2\frontend\src\api\axios-client\Client.ts                                                   | TypeScript         |      1,906 |        144 |        225 |      2,275 |
| c:\Git\videoportal2\frontend\src\api\axios-client\Query.ts                                                    | TypeScript         |      1,425 |        244 |        285 |      1,954 |
| c:\Git\videoportal2\frontend\src\api\axios-client\helpers.ts                                                  | TypeScript         |         57 |         19 |          7 |         83 |
| c:\Git\videoportal2\frontend\src\api\index.ts                                                                 | TypeScript         |          2 |          1 |          2 |          5 |
| c:\Git\videoportal2\frontend\src\components\AppBar\AppBar.tsx                                                 | TypeScript JSX     |         45 |          0 |          6 |         51 |
| c:\Git\videoportal2\frontend\src\components\AppBar\Logo.tsx                                                   | TypeScript JSX     |         38 |          1 |          4 |         43 |
| c:\Git\videoportal2\frontend\src\components\AppBar\Search.tsx                                                 | TypeScript JSX     |        136 |          0 |         10 |        146 |
| c:\Git\videoportal2\frontend\src\components\Avatar\Avatar.tsx                                                 | TypeScript JSX     |        115 |          3 |          8 |        126 |
| c:\Git\videoportal2\frontend\src\components\Avatar\ChannelAvatar.tsx                                          | TypeScript JSX     |         24 |          0 |          3 |         27 |
| c:\Git\videoportal2\frontend\src\components\Buttons\AvatarButton.tsx                                          | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\Git\videoportal2\frontend\src\components\Buttons\LinkButton.tsx                                            | TypeScript JSX     |         21 |          0 |          3 |         24 |
| c:\Git\videoportal2\frontend\src\components\Chip\ChipEditLine.tsx                                             | TypeScript JSX     |        158 |          0 |          9 |        167 |
| c:\Git\videoportal2\frontend\src\components\Chip\ChipLine.tsx                                                 | TypeScript JSX     |         35 |          1 |          3 |         39 |
| c:\Git\videoportal2\frontend\src\components\Chip\CustomChip.tsx                                               | TypeScript JSX     |         63 |          2 |          4 |         69 |
| c:\Git\videoportal2\frontend\src\components\Comment\Comment.tsx                                               | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Git\videoportal2\frontend\src\components\DropDownMenu\DropDownMenu.tsx                                     | TypeScript JSX     |        119 |          0 |          7 |        126 |
| c:\Git\videoportal2\frontend\src\components\DropDownMenu\ListItem.tsx                                         | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Git\videoportal2\frontend\src\components\Forms\LoginForm.tsx                                               | TypeScript JSX     |        119 |          0 |          6 |        125 |
| c:\Git\videoportal2\frontend\src\components\Forms\RegistationForm.tsx                                         | TypeScript JSX     |        130 |          0 |          6 |        136 |
| c:\Git\videoportal2\frontend\src\components\InlineList\InlineList.tsx                                         | TypeScript JSX     |        138 |          1 |          6 |        145 |
| c:\Git\videoportal2\frontend\src\components\InlineList\PlaylistInlineList.tsx                                 | TypeScript JSX     |         70 |          0 |          7 |         77 |
| c:\Git\videoportal2\frontend\src\components\InlineList\VideoInlineList.tsx                                    | TypeScript JSX     |         41 |          1 |          2 |         44 |
| c:\Git\videoportal2\frontend\src\components\Navigation\AndroidNavigation.tsx                                  | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Git\videoportal2\frontend\src\components\Navigation\CustomNavLink.tsx                                      | TypeScript JSX     |         17 |          2 |          4 |         23 |
| c:\Git\videoportal2\frontend\src\components\Navigation\DesktopNavigation.tsx                                  | TypeScript JSX     |         81 |          6 |          5 |         92 |
| c:\Git\videoportal2\frontend\src\components\Navigation\Navigation.tsx                                         | TypeScript JSX     |         75 |          0 |          6 |         81 |
| c:\Git\videoportal2\frontend\src\components\Table\EnhancedTable.tsx                                           | TypeScript JSX     |        356 |          1 |         25 |        382 |
| c:\Git\videoportal2\frontend\src\components\Thumbnail\PlaylistCard.tsx                                        | TypeScript JSX     |        147 |          1 |          6 |        154 |
| c:\Git\videoportal2\frontend\src\components\Thumbnail\VideoCard.tsx                                           | TypeScript JSX     |        240 |          1 |          8 |        249 |
| c:\Git\videoportal2\frontend\src\components\Utils\APIUtils.tsx                                                | TypeScript JSX     |          2 |          0 |          2 |          4 |
| c:\Git\videoportal2\frontend\src\components\Utils\AspectRatio.tsx                                             | TypeScript JSX     |         25 |          6 |          2 |         33 |
| c:\Git\videoportal2\frontend\src\components\Utils\CoolColors.tsx                                              | TypeScript JSX     |         43 |          0 |          2 |         45 |
| c:\Git\videoportal2\frontend\src\components\Utils\FileUploadWithPreview.tsx                                   | TypeScript JSX     |         40 |         10 |          6 |         56 |
| c:\Git\videoportal2\frontend\src\components\Utils\ImageUrlGenerator.tsx                                       | TypeScript JSX     |          6 |          0 |          1 |          7 |
| c:\Git\videoportal2\frontend\src\components\Utils\NumberUtils.tsx                                             | TypeScript JSX     |         58 |          2 |          4 |         64 |
| c:\Git\videoportal2\frontend\src\components\Utils\ScrollOnTop.tsx                                             | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Git\videoportal2\frontend\src\components\Utils\StrictModeDroppable.tsx                                     | TypeScript JSX     |         16 |          1 |          7 |         24 |
| c:\Git\videoportal2\frontend\src\components\Utils\StringUtils.tsx                                             | TypeScript JSX     |          6 |          1 |          1 |          8 |
| c:\Git\videoportal2\frontend\src\components\Utils\types.d.ts                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Git\videoportal2\frontend\src\components\VerticalList\VerticalList.tsx                                     | TypeScript JSX     |         93 |          0 |          6 |         99 |
| c:\Git\videoportal2\frontend\src\components\VideoDetail\LikeDislikeMenu.tsx                                   | TypeScript JSX     |        140 |          2 |          8 |        150 |
| c:\Git\videoportal2\frontend\src\components\VideoDetail\VideoPlayer.tsx                                       | TypeScript JSX     |         53 |          3 |          8 |         64 |
| c:\Git\videoportal2\frontend\src\index.css                                                                    | CSS                |         34 |          0 |          6 |         40 |
| c:\Git\videoportal2\frontend\src\index.jsx                                                                    | JavaScript JSX     |         36 |          1 |          5 |         42 |
| c:\Git\videoportal2\frontend\src\model\Channel.ts                                                             | TypeScript         |         24 |          0 |          6 |         30 |
| c:\Git\videoportal2\frontend\src\model\Error.ts                                                               | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Git\videoportal2\frontend\src\model\Playlist.ts                                                            | TypeScript         |         30 |          1 |          5 |         36 |
| c:\Git\videoportal2\frontend\src\model\User.ts                                                                | TypeScript         |          2 |          1 |          2 |          5 |
| c:\Git\videoportal2\frontend\src\model\Video.ts                                                               | TypeScript         |         46 |          1 |          9 |         56 |
| c:\Git\videoportal2\frontend\src\routes\ChannelEdit.tsx                                                       | TypeScript JSX     |        120 |          0 |          8 |        128 |
| c:\Git\videoportal2\frontend\src\routes\Channel\Channel.tsx                                                   | TypeScript JSX     |        137 |          0 |          8 |        145 |
| c:\Git\videoportal2\frontend\src\routes\Channel\ChannelHomePage.tsx                                           | TypeScript JSX     |         65 |          0 |          6 |         71 |
| c:\Git\videoportal2\frontend\src\routes\Channel\ChannelInfo.tsx                                               | TypeScript JSX     |         52 |          0 |          4 |         56 |
| c:\Git\videoportal2\frontend\src\routes\Channel\ChannelPlaylists.tsx                                          | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Git\videoportal2\frontend\src\routes\Channel\ChannelVideos.tsx                                             | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Git\videoportal2\frontend\src\routes\ErrorPage.tsx                                                         | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Git\videoportal2\frontend\src\routes\HomePage.tsx                                                          | TypeScript JSX     |         65 |          2 |          5 |         72 |
| c:\Git\videoportal2\frontend\src\routes\MyChannels.tsx                                                        | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\Git\videoportal2\frontend\src\routes\MyVideos.tsx                                                          | TypeScript JSX     |         67 |          1 |          6 |         74 |
| c:\Git\videoportal2\frontend\src\routes\Playlist.tsx                                                          | TypeScript JSX     |         58 |          0 |          8 |         66 |
| c:\Git\videoportal2\frontend\src\routes\Root.tsx                                                              | TypeScript JSX     |         91 |          0 |         10 |        101 |
| c:\Git\videoportal2\frontend\src\routes\SearchResult.tsx                                                      | TypeScript JSX     |         65 |          3 |          5 |         73 |
| c:\Git\videoportal2\frontend\src\routes\Users\UserEdit.tsx                                                    | TypeScript JSX     |        185 |          0 |         10 |        195 |
| c:\Git\videoportal2\frontend\src\routes\Users\UsersEdit.tsx                                                   | TypeScript JSX     |         63 |          1 |          7 |         71 |
| c:\Git\videoportal2\frontend\src\routes\VideoDetail.tsx                                                       | TypeScript JSX     |        289 |          3 |         17 |        309 |
| c:\Git\videoportal2\frontend\src\routes\VideoEdit.tsx                                                         | TypeScript JSX     |        313 |          7 |         15 |        335 |
| c:\Git\videoportal2\frontend\src\vite-env.d.ts                                                                | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Git\videoportal2\frontend\tsconfig.json                                                                    | JSON with Comments |         28 |         12 |          0 |         40 |
| c:\Git\videoportal2\frontend\vite.config.ts                                                                   | TypeScript         |          7 |          1 |          2 |         10 |
| Total                                                                                                         |                    |     14,272 |        578 |      2,216 |     17,066 |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
